"ID"	"name"	"description"	"hazard_rating"	"distribution"	"elimination_method"
"15"	"柳蓝叶甲"	"柳蓝叶甲，为鞘翅目，叶甲科。柳蓝叶甲是食叶害虫，危害各种柳、杨等。成虫和幼虫取食柳、杨叶片，严重将叶片全部吃光，尤其苗圃受害严重，直接影响苗木质量，影响农民的收入。寄主有玉米、大豆、棉花、桑、各种柳树。成虫取食叶片成缺刻或孔洞，幼虫啃食叶表后，留下一层较透明的叶组织，有时也会造成缺刻或孔洞。"	"5"	"分布在黑龙江、吉林、辽宁、内蒙古、甘肃、宁夏、河北、山西、陕西、山东、江苏等。"	"1.危害严重的可喷洒20%菊杀乳油2000倍液，或50%辛硫磷乳油1000倍液，50%马拉硫磷乳油1000—1500倍液，20%虫死净可湿性粉剂2000倍液。成虫、幼虫在树上取食危害活动期，尤其是成虫初上树期，喷洒1.2%烟参碱 1000 倍液，或10%吡虫啉可性粉剂 2000 倍液喷雾，在郁闭度较大林分可施用杀虫烟雾剂。2.用氧化乐果乳油、吡虫啉等内吸杀虫药剂在树干基部打孔注药，每胸径1 cm 注入药液 1 ~ 1.5 ml，一般打孔的深度为 3 ~4 cm。3.在老熟幼虫下树化蛹越冬期间，可在化蛹场所如树冠下土壤进行翻耕、松土，并可同时施用1%对硫磷粉剂拌土混和，可有效消灭越冬成虫。"
"17"	"麻皮蝽"	"麻皮蝽属于半翅目，蝽科的一种昆虫。寄主有苹果、枣、沙果、李、等及林木植物。其刺吸枝干、茎、叶及果实汁液，枝干出现干枯枝条；茎、叶受害出现黄褐色斑点，严重时叶片提前脱落；果实被害后，出现畸型或猴头果，被害部位常木栓化，失去食用价值，对产量及品质有很大损失。"	"5"	"分布于辽宁、河北、山西、陕西、山东、江苏、浙江、江西、广西、广东、四川、贵州和云南等许多省及日本和东南亚各国。"	"1.冬、春越冬成虫出蛰活动前，清理园内枯枝落叶、杂草、刮粗皮、堵树洞，结合平田整地，集中处理，消灭部分越冬成虫。2.在成、若虫危害期，利用假死性，在早晚进行人工振树捕杀，尤其在成虫产卵前振落捕杀，效果更好，同时还可防治具假死性的其它害虫如象甲类、叶甲类、金龟子类等。3.危害严重的果园，在产卵或危害前可采用果实套袋防治法。此项防治措施可结合疏花疏果进行，制袋可用农膜或废报纸，规格为16cm×14cm，用缝纫机缝或模压。4.结合其它管理，摘除卵块和初孵群集若虫。"
"18"	"马尾松毛虫"	"马尾松毛虫，Dendrolimus punctatus Walker，属鳞翅目、枯叶蛾科、松毛虫属的一种昆虫，又名毛辣虫、毛毛虫。是我国历史性森林害虫，以幼虫取食松针，大发生时连片松林在数日内，即可被蚕食精光，远看枯黄、焦黑，如同火烧一般，常称为“不冒烟的森林火灾”，被害松林，轻者影响生长，重者造成松树枯死。马尾松毛虫危害后容易招引松墨天牛、松纵坑切梢小蠹、松白星象等蛀干害虫的入侵，造成松树大面积死亡。"	"5"	"我国秦岭至淮河以南各省有分布。"	"1.营林技术防治。造林密植，疏林补密，合理打枝，针阔混交，轮流封禁，保持郁生，造成有利于天敌而不利松毛虫的森林环境。2.生物防治-白僵菌粉剂（每克含量100亿孢子，每亩用量0.5公斤，白僵菌油剂每毫升含量100亿孢子，每亩用量100毫升，白僵菌乳剂每毫升含量60亿孢子，每亩用量150毫升；青虫菌六号液剂每亩100克，或苏云金杆菌制剂。3.化学防治-50%马拉硫磷乳剂或50%马拉硫磷乳剂，90%晶体敌百虫2000倍液，2.5%敌百虫粉剂每亩3公斤；超低容量喷雾可使用2.5%溴氰菊酯每亩1毫升、20%杀灭菊酯或20%氯氰菊酯每亩1.5毫升、50%敌敌畏油剂、25%乙酰甲胺磷油剂或杀虫净（40%敌敌畏+10%马拉硫磷）油剂，用量均为每亩150-200毫升。"
"19"	"桑天牛"	"属鞘翅目，天牛科，沟胫天牛亚科。成虫食害嫩枝皮和叶；幼虫于枝干的皮下和木质部内，向下蛀食，隧道内无粪屑，隔一定距离向外蛀1通气排粪屑孔，排出大量粪屑，削弱树势，重者枯死。"	"4"	"国内除黑龙江、内蒙古、宁夏、青海、新疆外，各省，区均有发生；国外分布于日本、朝鲜、越南、老挝，柬埔寨、缅甸、泰国、印度、孟加拉。"	"1.物理防治-在成虫产卵及幼虫孵化初期（7～8月），用小刀割杀卵及初孵幼虫。在成虫产卵期，经常上树俯视枝干易于发现“产卵槽”；在成虫发生期（6～7月），雨后人工捕杀。2.药物防治-幼虫在隧道内活动时，向排粪孔内投放磷化铝或注射药水熏杀幼虫。具体方法是：先用铁丝清除最下边那个排粪孔中的虫粪；投药后用树枝或黄泥堵塞所有的排粪孔，可将幼虫全部杀死。有效药剂及药量：①注射药∶水比为1∶1的药液0.5毫升，有效药剂为：40%乐果乳油、80%敌敌畏乳油；②注射20%氨水20～30毫升。"
"21"	"松墨天牛"	"墨天牛（学名：Monochamus alternatus）是天牛科、墨天牛属的一种昆虫。成虫体长15.0-28.0毫米。体橙黄色到赤褐色，鞘翅上饰有黑色与灰白色斑点。松墨天牛是中国松树的重要蛀干害虫，也是松树的毁灭性病害松材线虫病的主要媒介昆虫。在松材线虫的扩散和侵染的过程中，松墨天牛起着携带、传播和协助病原侵入寄主的关键性作用。"	"5"	"分布于中国、韩国、日本、老挝。在中国分布于北京、河北、山东、河南、陕西、江苏、安徽、浙江、湖北、江西、湖南、福建、台湾、广东、香港、广西、四川、贵州、云南、西藏。"	"1.营林防治-在松墨天牛羽化期之前对林区内害虫发生范围的枯死木、濒死木和受害严重的虫害松木进行清除，对高于10厘米的伐桩进行土埋、剥皮或集中焚烧处理等措施，使松墨天牛的繁殖场所遭到破坏，阻止其生殖繁衍。2.化学防治-利用兼具毒力与药效的有机磷杀虫剂抑制松墨天牛胆碱酯酶活性，使其中毒。3.生物防治-使用花绒寄甲和管氏肿腿蜂对其进行生物防治。"
"24"	"玉带斑蛾"	"玉带斑蛾，中小型，头小，头背方红色，触角黑色具蓝色的光泽，前翅黑色，翅面中後方有一条宽型的白色横带， 又称白带黑斑蛾、茶带萤斑蛾。其在白天可见，栖息低矮的树林或草丛，幼虫黄色，体背有3条黑色的纵纹，头、尾端有黑色横带，体侧节间有长毛，成虫出现於4-9月，斑型单纯，在野外很容易认出来。"	"3"	"主要分布在我国安徽，台湾等地。"	"造林时选择健壮无虫害的母竹，及时开展更松土和除草工作，定期开展人工摘除卵块和捕杀初孵幼虫的工作，尽量在幼虫阶段进行施药，通过喷洒1.2%烟参碱乳油1000倍液，或25%灭幼脲三号胶悬剂1500倍液来灭虫。"
"9"	"二尾蛱蝶"	"二尾蛱蝶，Polyura narcaea，是蛱蝶科尾蛱蝶属蝴蝶中的一种"	"4"	"分布于湖北、湖南、四川、贵州、广东、云南、台湾、北京、浙江等。"	"二尾蛱蝶为我国较珍稀种类，在神农架数量较多"
"12"	"红天蛾"	"红天蛾是（Deilephila elpenor）属于鳞翅目、天蛾科的一种昆虫。"	"3"	"分布在黑龙江、吉林、辽宁、青海、甘肃、山西、北京、河北、山东、安徽、江苏、上海、浙江、湖北、贵州、四川、云南等地"	"(1)秋后至早春耕翻土壤，以消灭越冬蛹。
(2)捕杀幼虫，黑光灯诱杀成虫。
(3)幼虫为害期喷洒80%敌敌畏乳油或40%氧化乐果乳油或50%对硫磷乳油或50%三硫磷乳油1500～2000倍液、25%喹硫磷或50%混灭威或50%杀螟松或50%磷胺1000倍液；10%溴马乳油、20%菊马乳油、20%氯马乳油、20%甲氰菊酯乳油2000倍液、2.5%功夫或10%天王星乳油3000～3500倍液
"
"13"	"红缘灯蛾"	"红缘灯蛾（Aloa lactinea Cramer,1777）是灯蛾科，缘灯蛾属的一种动物。卵半球形，初黄白色，后渐变为灰黄色至暗灰色。幼虫体长40毫米左右，头黄褐色，胴部深褐或黑色，全身密披红褐色或黑色长毛。"	"3"	"在中国以外，主要分布朝鲜半岛、日本、爪哇岛、苏门答腊岛、印度、斯里兰卡及缅甸等地"	"1、成虫羽化盛期用黑光灯诱杀成虫。
2、在幼虫扩散为害前。当发现玉米田每500株有卵2块或被害穗率高于15%时，对离树木、沟渠近的玉米田喷洒90%晶体敌百虫1000~2000倍液或用48%毒死蜱乳油1000~1500倍液；或使用菊酯类农药兑水均匀喷雾，如5%来福灵（S-氰戊菊酯）乳油、25%功夫（高效氯氟氰菊酯）乳油、2.5%敌杀死（溴氰菊酯）乳油2000~3000倍液喷雾。 [3]  在低龄幼虫盛发期用2.5%敌杀死乳油2000倍液、2.5%功夫乳油2000倍液、5%抑太保乳油2000倍液、15%安打乳油3000倍液、4.5%云大安治乳油1000倍液、50%辛硫磷乳油1000倍液、2.5%敌杀死乳油2000倍液、20%速灭杀丁乳油2000倍液、48%乐斯本乳油或48%天达毒死蜱1500倍液喷雾。
"
"16"	"绿尾大蚕蛾"	"绿尾大蚕蛾（学名：Actias ningpoana）是鳞翅目大蚕蛾科的一种中大型蛾类，是长尾水青蛾的亚种之一。成虫体长32-38mm，翅展100-130mm。体粗大。成虫豆绿色，翅粉绿色，前后翅中央各有一椭圆形眼斑，外侧有1条黄褐色波纹，后翅尾状，特长，40mm左右。幼虫体黄绿色，体节近6角形，着生肉突状毛瘤，毛瘤上具白色刚毛和褐色短刺。胸足褐色，腹足棕褐色，上部具黑横带。幼虫食叶成缺刻或孔洞，稍大便把全叶吃光，仅残留叶柄或粗脉。"	"4"	"主要分布于亚洲，在中国分布广泛，河北、河南、江苏、江西、浙江、湖南、湖北、安徽、广西、四川、台湾等省均有分布。"	"山茱萸药树应避免与其他林木药材如枫杨、榆树、核桃或杜仲、牡丹、芍药等混栽，以利于管理和防治。
在成虫发生期，使用黑光灯诱杀。
抓住幼虫3龄前喷药防治：1、2代幼虫可用10%氯氰菊酯2000倍液、2.5%溴氰菊酯3000倍液、40%乙酰甲胺磷1000倍液、90%晶体敌百虫800倍液、45%马拉硫磷1000倍液、80%敌敌畏乳油1500倍液或20%速灭杀丁5000倍液，可于傍晚时用药，采用淋洗喷雾法，使药液喷透树冠枝叶；第3代幼虫防治期因接近药材采收期，故应改用微生物农药hd-1或bt乳剂500-700倍液喷雾，若提早在幼虫2龄防治，效果更好。
"
"20"	"双条杉天牛"	"双条杉天牛是一种钻蛀性害虫，主要危害侧柏等柏科植物，幼虫取食于皮、木之间，切断水分、养分的输送，引起针叶黄化，长势衰退，重则引起风折、雪折，严重时很快造成整株或整枝树木死亡。"	"4"	"分布于东北、北京、河北、河南、山东、山西、陕西，江苏，浙江、湖北、江西、安徽，贵州、四川、福建、广东、广西；朝鲜、日本"	"①深挖松土，挖壕压青，追施土杂肥，促进苗木速生，增强树势。
②冬季进行疏伐，伐除虫害木、衰弱木、被压木等，使林分疏密适宜、通风透光良好，树木生长旺盛，增强对虫害的抵抗力。
③夏季及时砍除枯死木和风折木，除去根际萌蘖，清除林内枝丫，保持林内卫生。
"
"23"	"桃蛀螟"	"桃蛀螟，Conogethes punctiferalis (Guenée)，为属鳞翅目草螟科蛀野螟属的一种昆虫，也称桃蛀野螟。幼虫俗称蛀心虫，属重大蛀果性害虫，主要危害板栗、玉米、向日葵、桃、李、山楂等多种农林植物和果树。"	"5"	"分布北起黑龙江、内蒙古，南至台湾、海南、广东、广西、云南南缘，东接前苏联东境、朝鲜北境，西面自山西、陕西西斜至宁夏、甘肃后，折入四川、云南、西藏"	"1. 清除越冬幼虫：在每年4月中旬，越冬幼虫化蛹前，清除玉米、向日葵等寄主植物的残体，并刮除苹果、梨、桃等果树翘皮、集中烧毁，减少虫源。
2. 果实套袋：在套袋前结合防治其他病虫害喷药 1次，消灭早期桃蛀螟所产的卵。
3. 诱杀成虫：在桃园内点黑光灯或用糖、醋液诱杀成虫，可结合诱杀梨小食心虫进行。
4. 拾毁落果和摘除虫果，消灭果内幼虫
"
"25"	"竹节虫"	"竹节虫，竹节鞭，属有翅亚纲下的直翅总目，因身体修长而得名，有翅或无翅。体长而大，为中型或大型昆虫，一般体长在6厘米至24厘米。最大的62.4厘米。"	"4"	"竹节虫主要分布在热带和亚热带地区，全世界约有2200余种，中国大约有20多种，生活在森林或竹林中，是森林的害虫，有的种类还危害农作物。竹节虫种类很多，主要分布在热带和亚热带地区，主要分布在湖北、云南、贵州等省。"	"（一）人工捕杀利用3—6龄幼虫和成虫假死性的特性，可以人工震落并捕杀，或利用傍晚成虫大量下树时进行捕杀。
（二）生物防治
1、白僵菌：利用雨后或有露水的早晚喷撒白僵菌粉，每亩用量1千克。
2、苦烟乳油：使用苦烟乳油2000—3000倍液喷雾，每亩用量约40克；或将苦烟乳油和柴油按1：9混合，制成烟剂，用烟雾机施放，每亩用量约30克。
3、灭幼脲：喷洒无公害绿色农药—25%阿维菌素·灭幼脲3号悬浮剂，使用浓度为1500—2500倍液，一般施药24小时后开始中毒死亡。使用前务必将瓶下部沉淀摇起，混匀后再使用。本剂对蚕有毒，养蚕区不宜使用。
4、阿维菌素：使用阿维菌素烟剂直接燃烧放烟，每亩用量1公斤（含有效成分30克）。
"
"22"	"桃红颈天牛"	"桃红颈天牛属鞘翅目，天牛科。体黑色，有光亮；前胸背板红色，背面有4个光滑疣突，具角状侧枝刺；鞘翅翅面光滑，基部比前胸宽，端部渐狭；雄虫触角超过体长4～5节，雌虫超过1～2节。它体长28～37mm。"	"3"	"四川、重庆、云南、贵州、河南、河北、天津、内蒙古、辽宁、甘肃、湖南、湖北、陕西、福建、江苏、浙江、山东、安徽、上海、广东、广西、海南等地区"	"(1)人工防治：幼虫孵化期，人工刮除老树皮，集中烧毁。成虫羽化期，人工捕捉，主要利用成虫中午至下午2～3时静栖在枝条上，特别是下到树干基部的习性，进行捕捉。由于成虫羽化期比较集中，一般在10天左右。在此期间坚持人工捕捉，效果显著。成虫产卵期，经常检查树干，发现有方形产卵伤痕，及时刮除或以木槌击死卵粒。
(2)药剂防治：对有新鲜虫粪排出的蛀孔，可用小棉球蘸敌敌畏煤油合剂（煤油1000克加入80%敌敌畏乳油50克）塞入虫孔内，然后再用泥土封闭虫孔，或注射80%敌敌畏原液少许，洞口敷以泥土，可熏杀幼虫。
(3)生物防治：保护和利用天敌昆虫。例如管氏肿腿蜂
"
"8"	"大田鳖"	"是一类水生昆虫它和负子蝽、蝎蝽等及其容易混淆，大田鳖不负子，直接将卵产至水草的茎上，负子蝽为2厘米左右，大田鳖最大可长到12厘米，国内常见的个体为7至9厘米，较小的个体只有5厘米左右，它是中国广泛分布的昆虫。"	"3"	"田鳖分布于中国南方、南、北美洲，以及东南亚一带，少量分布在中国北方"	"经常清理鱼缸。养殖5-6月之后，田鳖成熟，捕捞时在水草多的地方用网补，或利用成虫的趋光性。在夜间用灯光诱集，或用带饵的树枝来捕捉"
